* Colored cells are formulas so should not be edited.,,,,,,,,,,,,
,,,,,,,,,,,,
Day,Start,End,Duration (Minutes),Activity,Title,Resource Person(s),Activity,Title,Resource Person(s),Activity,Title,Resource Person(s)
,12:00 PM,1:15 PM,75,Lunch,Lunch (Play Exhibitors' Videos),,Lunch,Lunch (Play Exhibitors' Videos),,Lunch,Lunch (Play Exhibitors' Videos),
,1:15 PM,2:45 PM,90,Session #3,Designing Curricula Aligned with the Philippine Skills Framework for Analytics & AI,"Oliver Malabanan, De La Salle University",Session #4,From Slides to Stories: Enhancing Presentations with AI Tools,Iloilo State University of Fisheries Science and Technology,Session #4,Think Before You Prompt: A Framework for Responsible AI-Supported Learning,"Dr. Dave Marcial, Siliman University"
,2:45 PM,3:00 PM,15,Break,,,Break,Break,,Break,Break,
,3:00 PM,4:30 PM,90,Session #4,Developing a Research Agenda in the Age of Intelligence,"Dr. Jaime Caro, Techfactors, Inc.",Session #5,Your AI Teaching Companion: Personal Productivity and Reflective Practice,Bulacan State University,Session #5,"Open Forum with Students: ""To AI or Not to AI""","Sherwin Pelayo, AAP | PCORP"
,BREAKOUT END,,,,,,,,,,,
,4:30 PM,4:40 PM,10,Transition,"Back to Plenary, Introduction of Day 2 Highlights",Host,,,,,,
,4:40 PM,4:55 PM,15,Highlights,Day 2 Highlights,"(TBD), CHED",,,,,,
,4:55 PM,5:00 PM,5,Closing,"SDE, Closing Spiel, Instructions for Day 3",Host,,,,,,
Summary,7:59 AM,4:59 PM,540,,,,,,,,,
Feb 27,8:00 AM,9:00 AM,60,Registration,"Registration, Morning Coffee",Secretariat,,,,,,
,9:00 AM,9:02 AM,2,Opening,"Opening Spiel, Introduction of Day 2 Recap",Host,,,,,,
,9:02 AM,9:12 AM,10,Recap,"Day 3 Welcome, Day 2 Recap","(TBD), CHED",,,,,,
,9:12 AM,9:13 AM,1,Transition,Introduction of Draft AI Policy in Education Speaker,Host,,,,,,
,9:13 AM,9:43 AM,30,Presentation,Draft AI Policy in Education,"(TBD), CHED",,,,,,
,9:43 AM,9:53 AM,10,Q&A,Draft AI Policy in Education,Host,,,,,,
,9:53 AM,9:55 AM,2,Transition,Introduction to Commitment Signing,Host,,,,,,
,9:55 AM,10:00 AM,5,Commitment Signing,Commitment Signing to Draft AI Policy in Education,"Selected HEIs, Students, Industry",,,,,,
,10:00 AM,10:01 AM,1,Transition,Introduction of Final Speaker,Host,,,,,,
,10:01 AM,10:11 AM,10,Closing Remarks,Closing Remarks,"Dr. Raul Muyong, CHED Region 6",,,,,,
,10:11 AM,10:15 AM,4,Transition,Instructions for Company/HEI Tours,Host,,,,,,
,10:15 AM,12:15 PM,120,Tours,Company/HEI Tours,Secretariat,,,,,,
,12:15 PM,1:30 PM,75,Lunch,Lunch (Play Exhibitors' Videos),Secretariat,,,,,,
Summary,7:59 AM,1:30 PM,330,,,,,,,,,
